u,i,ts,label,idx
324,1,0.0,3,1
324,1,0.0,3,2
14,163,0.0,1,3
14,132,0.0,3,4
14,1,0.0,3,5
594,39,0.0,1,6
1,234,0.0,1,7
250,250,0.0,3,8
250,250,0.0,3,9
250,250,0.0,3,10
250,26,0.0,1,11
250,298,0.0,1,12
250,249,0.0,1,13
250,1,0.0,1,14
250,1,0.0,1,15
250,196,0.0,1,16
239,161,0.0,1,17
39,278,0.0,1,18
39,278,0.0,1,19
39,278,0.0,1,20
39,278,0.0,1,21
39,278,0.0,1,22
39,278,0.0,1,23
39,286,0.0,1,24
39,278,0.0,1,25
39,482,0.0,1,26
39,117,0.0,1,27
39,278,0.0,1,28
39,278,0.0,1,29
39,544,0.0,1,30
39,278,0.0,1,31
39,278,0.0,1,32
39,278,0.0,1,33
39,278,0.0,1,34
39,41,0.0,1,35
39,118,0.0,1,36
39,278,0.0,1,37
39,278,0.0,1,38
39,278,0.0,1,39
39,563,0.0,1,40
39,278,0.0,1,41
39,286,0.0,1,42
39,278,0.0,1,43
39,603,0.0,1,44
39,278,0.0,1,45
39,278,0.0,1,46
39,162,0.0,1,47
39,286,0.0,1,48
39,278,0.0,1,49
39,278,0.0,1,50
39,278,0.0,1,51
39,522,0.0,1,52
39,278,0.0,1,53
39,278,0.0,1,54
39,117,0.0,1,55
39,278,0.0,1,56
39,286,0.0,1,57
39,278,0.0,1,58
39,278,0.0,1,59
39,328,0.0,1,60
39,278,0.0,1,61
39,278,0.0,1,62
39,278,0.0,1,63
39,515,0.0,1,64
39,92,0.0,1,65
39,278,0.0,1,66
39,411,0.0,1,67
39,278,0.0,1,68
39,278,0.0,1,69
39,333,0.0,1,70
426,333,0.0,3,71
426,268,0.0,1,72
426,210,0.0,1,73
426,268,0.0,1,74
426,26,0.0,1,75
426,29,0.0,1,76
426,97,0.0,3,77
426,345,0.0,3,78
426,268,0.0,1,79
426,366,0.0,1,80
426,97,0.0,1,81
426,268,0.0,1,82
426,268,0.0,1,83
426,268,0.0,1,84
426,66,0.0,1,85
426,268,0.0,1,86
426,268,0.0,1,87
426,99,0.0,1,88
182,243,0.0,1,89
182,243,0.0,1,90
182,243,0.0,1,91
182,281,0.0,1,92
182,243,0.0,1,93
182,243,0.0,1,94
182,243,0.0,1,95
182,243,0.0,1,96
182,243,0.0,1,97
182,243,0.0,1,98
182,243,0.0,1,99
182,1,0.0,1,100
182,281,0.0,3,101
32,29,0.0,1,102
32,38,0.0,1,103
287,325,0.0,1,104
287,236,0.0,3,105
287,236,0.0,3,106
287,236,0.0,3,107
287,236,0.0,3,108
287,236,0.0,3,109
287,236,0.0,3,110
287,1,0.0,3,111
287,1,0.0,3,112
287,1,0.0,3,113
287,1,0.0,3,114
287,1,0.0,3,115
287,1,0.0,3,116
287,1,0.0,1,117
287,1,0.0,1,118
287,1,0.0,3,119
287,1,0.0,3,120
287,1,0.0,3,121
287,1,0.0,3,122
287,1,0.0,3,123
287,1,0.0,3,124
287,1,0.0,3,125
287,1,0.0,3,126
287,1,0.0,3,127
287,1,0.0,3,128
287,1,0.0,3,129
287,1,0.0,3,130
287,1,0.0,3,131
